# Civ2.exe Function Index
# Generated by Ghidra headless decompiler
# Format: Address  Size  Name
# Total: 5149 decompiled, 1975 skipped (thunks/externals), 0 errors

0x00410402      98  FUN_00410402
0x00410464     404  FUN_00410464
0x004105F8     261  FUN_004105f8
0x004106FD     312  FUN_004106fd
0x00410835     554  FUN_00410835
0x00410A64     191  FUN_00410a64
0x00410B23     160  FUN_00410b23
0x00410BC3     311  FUN_00410bc3
0x00410CFA     158  FUN_00410cfa
0x00410D98     114  FUN_00410d98
0x00410E0A      60  FUN_00410e0a
0x00410E46     146  FUN_00410e46
0x00410ED8     159  FUN_00410ed8
0x00410F77    1866  map_window_click
0x004116C1      34  FUN_004116c1
0x004116E3      34  FUN_004116e3
0x00411705     767  map_double_click
0x00411A13     114  FUN_00411a13
0x00411A85     333  FUN_00411a85
0x00411BD7      30  FUN_00411bd7
0x00411BF5     764  FUN_00411bf5
0x00411F91    1203  map_ascii
0x004125C6    2451  map_key
0x004131C0     157  FUN_004131c0
0x0041325D      90  FUN_0041325d
0x004132B7     153  FUN_004132b7
0x00413350     109  FUN_00413350
0x004133C2      90  FUN_004133c2
0x0041341C      90  FUN_0041341c
0x00413476     304  FUN_00413476
0x004135AB     343  FUN_004135ab
0x00413717     889  FUN_00413717
0x00413A90     321  FUN_00413a90
0x00413BD1     164  FUN_00413bd1
0x00414B70      47  FUN_00414b70
0x00414BB0      37  FUN_00414bb0
0x00414BE0      43  FUN_00414be0
0x00414C20      45  FUN_00414c20
0x00414C60      45  FUN_00414c60
0x00414CA0      45  FUN_00414ca0
0x00414CE0      39  FUN_00414ce0
0x00414D10      28  FUN_00414d10
0x00414D40      39  FUN_00414d40
0x00414D70      33  FUN_00414d70
0x00414DA0      36  EnableStackedTabs
0x00414DD0      39  FUN_00414dd0
0x00414E00      31  IsTracking
0x00414E30     210  FUN_00414e30
0x00414F02     206  FUN_00414f02
0x00415040      76  FUN_00415040
0x0041508C     121  FUN_0041508c
0x00415105      46  FUN_00415105
0x00415133      85  FUN_00415133
0x004151E0     295  FUN_004151e0
0x00415307     275  FUN_00415307
0x0041541A     343  FUN_0041541a
0x0041557B     480  FUN_0041557b
0x00415765      27  FUN_00415765
0x00415780     466  FUN_00415780
0x00415952     238  FUN_00415952
0x00415A40     274  show_messagebox_5A40
0x00415B52     769  FUN_00415b52
0x00415E53     731  FUN_00415e53
0x0041612E      95  FUN_0041612e
0x0041618D      40  FUN_0041618d
0x004161B5     136  FUN_004161b5
0x0041623D     279  FUN_0041623d
0x00416354     962  FUN_00416354
0x00416734     244  FUN_00416734
0x00416828    1142  FUN_00416828
0x00416C9E    2186  FUN_00416c9e
0x00417542      12  FUN_00417542
0x00417558      14  FUN_00417558
0x00417566      89  FUN_00417566
0x004175BF      12  FUN_004175bf
0x004175D5      14  FUN_004175d5
0x00417EF0      93  FUN_00417ef0
0x00417F70      28  FUN_00417f70
